n,side,csv,png
137,13.475332986109775,out_alt\submission_n137.csv,out_alt\plot_n137.png
138,13.472585878163269,out_alt\submission_n138.csv,out_alt\plot_n138.png
139,13.487533896498535,out_alt\submission_n139.csv,out_alt\plot_n139.png
140,13.454864081119577,out_alt\submission_n140.csv,out_alt\plot_n140.png
141,13.484456972786782,out_alt\submission_n141.csv,out_alt\plot_n141.png
142,13.467795659848814,out_alt\submission_n142.csv,out_alt\plot_n142.png
143,13.49285591948554,out_alt\submission_n143.csv,out_alt\plot_n143.png
144,13.486061701208213,out_alt\submission_n144.csv,out_alt\plot_n144.png
145,14.213993920784183,out_alt\submission_n145.csv,out_alt\plot_n145.png
146,14.255462811944822,out_alt\submission_n146.csv,out_alt\plot_n146.png
147,14.228146881153588,out_alt\submission_n147.csv,out_alt\plot_n147.png
148,14.273363613950597,out_alt\submission_n148.csv,out_alt\plot_n148.png
149,14.24128125253964,out_alt\submission_n149.csv,out_alt\plot_n149.png
150,14.28977953661188,out_alt\submission_n150.csv,out_alt\plot_n150.png
151,14.29512314604576,out_alt\submission_n151.csv,out_alt\plot_n151.png
152,14.268541299129044,out_alt\submission_n152.csv,out_alt\plot_n152.png
153,14.267532103652032,out_alt\submission_n153.csv,out_alt\plot_n153.png
154,14.249500510439166,out_alt\submission_n154.csv,out_alt\plot_n154.png
155,14.26177366102337,out_alt\submission_n155.csv,out_alt\plot_n155.png
156,14.323488365709183,out_alt\submission_n156.csv,out_alt\plot_n156.png
157,14.267979185778053,out_alt\submission_n157.csv,out_alt\plot_n157.png
158,14.475066581114413,out_alt\submission_n158.csv,out_alt\plot_n158.png
159,14.520441952143663,out_alt\submission_n159.csv,out_alt\plot_n159.png
160,14.534667036453609,out_alt\submission_n160.csv,out_alt\plot_n160.png
161,14.494576203168805,out_alt\submission_n161.csv,out_alt\plot_n161.png
162,14.52997154213593,out_alt\submission_n162.csv,out_alt\plot_n162.png
163,14.537314567843305,out_alt\submission_n163.csv,out_alt\plot_n163.png
164,14.592506854989066,out_alt\submission_n164.csv,out_alt\plot_n164.png
165,14.53567688391694,out_alt\submission_n165.csv,out_alt\plot_n165.png
166,14.540154984649481,out_alt\submission_n166.csv,out_alt\plot_n166.png
167,14.538301845766302,out_alt\submission_n167.csv,out_alt\plot_n167.png
168,14.552039497309398,out_alt\submission_n168.csv,out_alt\plot_n168.png
169,14.532807429528653,out_alt\submission_n169.csv,out_alt\plot_n169.png
